date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-10-15,Waltham Forest,-18.42857143,-7.428571429,21,-39.85714286,-35.71428571,11.14285714
2020-10-16,Waltham Forest,-18,-7,23.42857143,-39.85714286,-35.57142857,11
2020-10-17,Waltham Forest,-18.28571429,-7,26.28571429,-40.28571429,-35.85714286,11.14285714
2020-10-18,Waltham Forest,-18.71428571,-7,25.71428571,-40.71428571,-36.42857143,11.42857143
2020-10-19,Waltham Forest,-18.42857143,-6.428571429,31.85714286,-40.85714286,-36.42857143,11.42857143
2020-10-20,Waltham Forest,-17.85714286,-5.571428571,40.42857143,-41,-36.42857143,11.42857143
2020-10-21,Waltham Forest,-19.42857143,-6.571428571,33.42857143,-41.57142857,-36.57142857,11.71428571
2020-10-22,Waltham Forest,-19.14285714,-6.285714286,38.14285714,-42,-36.57142857,11.71428571
2020-10-23,Waltham Forest,-19.14285714,-6.428571429,38.85714286,-42.71428571,-36.71428571,12
2020-10-24,Waltham Forest,-19.14285714,-6.714285714,36,-42.71428571,-36.42857143,12
2020-10-25,Waltham Forest,-18.71428571,-6.571428571,34.85714286,-42.71428571,-36.14285714,11.85714286
2020-10-26,Waltham Forest,-18,-6.857142857,34.57142857,-43.28571429,-37.28571429,12.14285714
2020-10-27,Waltham Forest,-18.28571429,-7.428571429,25.28571429,-44.14285714,-38.57142857,12.57142857
2020-10-28,Waltham Forest,-16.42857143,-6.714285714,32.42857143,-44.42857143,-39.71428571,12.57142857
2020-10-29,Waltham Forest,-17.28571429,-7.714285714,21.14285714,-45.14285714,-41.14285714,13
2020-10-30,Waltham Forest,-17.14285714,-7.714285714,19.14285714,-45.28571429,-42.28571429,13.14285714
2020-10-31,Waltham Forest,-17.57142857,-7.285714286,16.57142857,-45.42857143,-42.42857143,13.14285714
2020-11-01,Waltham Forest,-17.28571429,-7,12.42857143,-44.57142857,-42.28571429,13.14285714
2020-11-02,Waltham Forest,-16.57142857,-6.142857143,8.857142857,-43.57142857,-40.85714286,12.85714286
2020-11-03,Waltham Forest,-14.14285714,-5,11,-41.85714286,-39.28571429,12.14285714
2020-11-04,Waltham Forest,-11.14285714,-3.857142857,11,-40.14285714,-37.57142857,11.28571429
2020-11-05,Waltham Forest,-14.28571429,-3.571428571,15.14285714,-40.28571429,-37.14285714,11.57142857
2020-11-06,Waltham Forest,-18.28571429,-3.428571429,14.28571429,-41,-36.85714286,12.28571429
2020-11-07,Waltham Forest,-20.85714286,-3.285714286,22,-42.42857143,-39.28571429,13.28571429
2020-11-08,Waltham Forest,-25.14285714,-3.857142857,28.42857143,-45.14285714,-42.42857143,14.14285714
2020-11-09,Waltham Forest,-29.85714286,-5,29.28571429,-46.42857143,-43.42857143,14.85714286
2020-11-10,Waltham Forest,-34.57142857,-5.571428571,34.57142857,-48.14285714,-44.42857143,15.71428571
2020-11-11,Waltham Forest,-41.14285714,-6.571428571,32.71428571,-50.28571429,-45.71428571,17
2020-11-12,Waltham Forest,-40.42857143,-6,35.42857143,-50.42857143,-45.71428571,17
2020-11-13,Waltham Forest,-39.71428571,-5.714285714,36.71428571,-50.14285714,-45.71428571,17
2020-11-14,Waltham Forest,-40.42857143,-6.428571429,27.42857143,-50.85714286,-45.71428571,17.14285714
2020-11-15,Waltham Forest,-40.42857143,-6.285714286,23.57142857,-50.71428571,-45.85714286,17.14285714
2020-11-16,Waltham Forest,-40.28571429,-6.285714286,21.14285714,-50.85714286,-45.85714286,17.14285714
2020-11-17,Waltham Forest,-40.28571429,-6.428571429,18.57142857,-51,-46,17.28571429
2020-11-18,Waltham Forest,-40.28571429,-6.428571429,19.14285714,-51,-46,17.28571429
2020-11-19,Waltham Forest,-40.85714286,-7,14.42857143,-51.14285714,-46,17.42857143
2020-11-20,Waltham Forest,-41.14285714,-6.857142857,10.57142857,-51.28571429,-46.14285714,17.42857143
2020-11-21,Waltham Forest,-40.28571429,-5.714285714,15.85714286,-50.28571429,-46.14285714,17.14285714
2020-11-22,Waltham Forest,-39.85714286,-5.142857143,22.28571429,-49.71428571,-46,17
2020-11-23,Waltham Forest,-39.42857143,-4.714285714,24.14285714,-49.71428571,-46,17
2020-11-24,Waltham Forest,-39.42857143,-4.428571429,24.28571429,-49.71428571,-46,17
2020-11-25,Waltham Forest,-39.71428571,-4.142857143,22,-49.71428571,-46,17
2020-11-26,Waltham Forest,-39.28571429,-3.571428571,25.28571429,-49.57142857,-46,16.85714286
2020-11-27,Waltham Forest,-39.14285714,-3.428571429,27.14285714,-49.85714286,-45.85714286,16.85714286
2020-11-28,Waltham Forest,-39.14285714,-3.285714286,27,-50.14285714,-45.28571429,16.85714286
2020-11-29,Waltham Forest,-39.42857143,-3.285714286,20.57142857,-50.57142857,-45,16.85714286
2020-11-30,Waltham Forest,-39.28571429,-2.857142857,19.14285714,-50.14285714,-44.85714286,16.71428571
2020-12-01,Waltham Forest,-39.14285714,-2.428571429,18.28571429,-49.85714286,-44.42857143,16.57142857
