date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,StringencyIndexForDisplay,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
2021-08-10,-24.0,-4.0,47.0,-45.0,-52.0,12.0,23.15,3928.0,5.0
2021-08-11,-25.0,-5.0,51.0,-45.0,-51.0,12.0,23.15,4369.0,12.0
2021-08-12,-27.0,-5.0,29.0,-46.0,-51.0,12.0,23.15,4017.0,17.0
2021-08-13,-31.0,-5.0,17.0,-43.0,-49.0,11.0,23.15,3761.0,7.0
2021-08-14,-32.0,-11.0,16.0,-29.0,-12.0,0.0,23.15,2948.0,12.0
2021-08-15,-27.0,-13.0,29.0,-29.0,-9.0,-1.0,23.15,2760.0,13.0
2021-08-16,-25.0,-5.0,31.0,-46.0,-53.0,12.0,23.15,3926.0,10.0
2021-08-17,-28.0,-8.0,12.0,-47.0,-53.0,13.0,23.15,3824.0,12.0
2021-08-18,-27.0,-6.0,31.0,-46.0,-49.0,12.0,23.15,3803.0,10.0
2021-08-19,-26.0,-5.0,33.0,-46.0,-50.0,12.0,23.15,3625.0,13.0
2021-08-20,-30.0,-6.0,20.0,-43.0,-48.0,11.0,23.15,3168.0,16.0
2021-08-21,-34.0,-13.0,-11.0,-32.0,-13.0,2.0,23.15,2728.0,13.0
2021-08-22,-28.0,-15.0,10.0,-30.0,-8.0,0.0,23.15,2723.0,13.0
2021-08-23,-22.0,-5.0,53.0,-45.0,-51.0,12.0,23.15,3656.0,15.0
2021-08-24,-24.0,-6.0,41.0,-45.0,-51.0,12.0,23.15,3516.0,9.0
2021-08-25,-24.0,-5.0,46.0,-45.0,-50.0,12.0,23.15,3526.0,10.0
2021-08-26,-24.0,-5.0,23.0,-44.0,-50.0,12.0,23.15,3246.0,13.0
2021-08-27,-27.0,-3.0,22.0,-41.0,-49.0,10.0,23.15,3142.0,11.0
2021-08-28,-31.0,-11.0,10.0,-28.0,-14.0,0.0,23.15,2647.0,14.0
2021-08-29,-22.0,-13.0,32.0,-25.0,-9.0,-2.0,23.15,2286.0,7.0
2021-08-30,-21.0,-14.0,48.0,-53.0,-75.0,16.0,23.15,2873.0,8.0
2021-08-31,-25.0,-1.0,15.0,-45.0,-51.0,13.0,23.15,3811.0,12.0
2021-09-01,-26.0,-2.0,20.0,-44.0,-46.0,12.0,23.15,3677.0,11.0
2021-09-02,-24.0,0.0,25.0,-43.0,-45.0,12.0,23.15,3811.0,13.0
2021-09-03,-27.0,-1.0,20.0,-39.0,-42.0,10.0,23.15,3531.0,21.0
2021-09-04,-28.0,-6.0,6.0,-29.0,-10.0,2.0,23.15,2757.0,8.0
2021-09-05,-19.0,-5.0,55.0,-25.0,-6.0,0.0,23.15,2706.0,11.0
2021-09-06,-20.0,3.0,58.0,-39.0,-44.0,10.0,23.15,3892.0,15.0
2021-09-07,-24.0,0.0,52.0,-39.0,-43.0,10.0,23.15,3462.0,11.0
2021-09-08,-25.0,0.0,50.0,-39.0,-42.0,10.0,23.15,3214.0,13.0
2021-09-09,-26.0,0.0,20.0,-39.0,-41.0,10.0,23.15,2805.0,17.0
2021-09-10,-28.0,-2.0,10.0,-37.0,-39.0,9.0,23.15,2569.0,10.0
2021-09-11,-25.0,-5.0,17.0,-25.0,-10.0,1.0,23.15,2227.0,8.0
2021-09-12,-22.0,-6.0,36.0,-26.0,-7.0,1.0,23.15,2065.0,8.0
2021-09-13,-22.0,2.0,39.0,-38.0,-42.0,10.0,23.15,2860.0,4.0
2021-09-14,-30.0,-7.0,-8.0,-38.0,-44.0,11.0,23.15,2641.0,12.0
2021-09-15,-24.0,1.0,27.0,-37.0,-41.0,9.0,23.15,2479.0,11.0
2021-09-16,-23.0,0.0,42.0,-37.0,-42.0,9.0,23.15,2393.0,10.0
2021-09-17,-26.0,0.0,22.0,-35.0,-41.0,8.0,23.15,2415.0,8.0
2021-09-18,-25.0,-5.0,23.0,-25.0,-12.0,0.0,23.15,2165.0,11.0
2021-09-19,-23.0,-10.0,8.0,-28.0,-10.0,2.0,23.15,2378.0,9.0
2021-09-20,-22.0,0.0,30.0,-39.0,-43.0,10.0,23.15,3177.0,8.0
2021-09-21,-23.0,-1.0,36.0,-37.0,-42.0,9.0,23.15,2969.0,8.0
2021-09-22,-22.0,-1.0,39.0,-36.0,-39.0,9.0,23.15,2867.0,11.0
2021-09-23,-22.0,1.0,29.0,-36.0,-39.0,9.0,23.15,2793.0,14.0
2021-09-24,-23.0,4.0,33.0,-32.0,-38.0,8.0,23.15,2435.0,13.0
2021-09-25,-24.0,-4.0,11.0,-18.0,-11.0,1.0,23.15,2333.0,10.0
2021-09-26,-20.0,-6.0,34.0,-19.0,-9.0,1.0,23.15,2552.0,6.0
2021-09-27,-25.0,1.0,18.0,-36.0,-42.0,11.0,23.15,3515.0,17.0
2021-09-28,-28.0,-4.0,-3.0,-35.0,-42.0,11.0,23.15,2841.0,13.0
2021-09-29,-25.0,-1.0,11.0,-36.0,-40.0,10.0,23.15,2826.0,13.0
2021-09-30,-23.0,-2.0,0.0,-35.0,-40.0,10.0,23.15,2650.0,13.0
2021-10-01,-26.0,0.0,-2.0,-34.0,-39.0,10.0,23.15,2231.0,16.0
2021-10-02,-30.0,-13.0,-38.0,-28.0,-14.0,4.0,23.15,2201.0,12.0
2021-10-03,-16.0,-4.0,26.0,-19.0,-10.0,2.0,23.15,2572.0,6.0
2021-10-04,-23.0,-1.0,10.0,-38.0,-41.0,10.0,23.15,3363.0,9.0
2021-10-05,-26.0,-3.0,-5.0,-37.0,-41.0,10.0,23.15,3124.0,11.0
2021-10-06,-23.0,-1.0,18.0,-37.0,-39.0,9.0,23.15,2863.0,10.0
2021-10-07,-24.0,-2.0,7.0,-36.0,-38.0,9.0,23.15,2972.0,6.0
2021-10-08,-24.0,-1.0,3.0,-35.0,-38.0,9.0,23.15,2700.0,11.0
2021-10-09,-21.0,-4.0,9.0,-24.0,-11.0,1.0,23.15,2487.0,11.0
2021-10-10,-19.0,-8.0,14.0,-24.0,-10.0,2.0,23.15,2781.0,8.0
2021-10-11,-21.0,0.0,26.0,-38.0,-40.0,10.0,23.15,3887.0,8.0
2021-10-12,-23.0,-2.0,6.0,-36.0,-39.0,10.0,23.15,3423.0,4.0
2021-10-13,-23.0,-3.0,13.0,-37.0,-38.0,9.0,23.15,3570.0,6.0
2021-10-14,-22.0,-2.0,14.0,-36.0,-37.0,9.0,23.15,3469.0,12.0
2021-10-15,-24.0,-2.0,3.0,-35.0,-37.0,9.0,23.15,3321.0,5.0
2021-10-16,-23.0,-8.0,-11.0,-27.0,-12.0,2.0,23.15,2806.0,7.0
2021-10-17,-18.0,-9.0,11.0,-25.0,-10.0,2.0,23.15,3360.0,13.0
2021-10-18,-21.0,-4.0,9.0,-38.0,-41.0,10.0,23.15,4568.0,10.0
2021-10-19,-25.0,-5.0,3.0,-37.0,-40.0,10.0,23.15,4456.0,9.0
2021-10-20,-23.0,-5.0,3.0,-37.0,-39.0,10.0,23.15,4359.0,6.0
2021-10-21,-20.0,-3.0,11.0,-37.0,-38.0,9.0,23.15,3969.0,9.0
2021-10-22,-22.0,-3.0,-2.0,-35.0,-39.0,9.0,23.15,3523.0,12.0
2021-10-23,-21.0,-7.0,-9.0,-24.0,-12.0,2.0,23.15,2893.0,7.0
2021-10-24,-16.0,-9.0,18.0,-23.0,-11.0,1.0,23.15,2837.0,10.0
2021-10-25,-16.0,-2.0,30.0,-39.0,-48.0,11.0,23.15,4025.0,12.0
2021-10-26,-17.0,-4.0,12.0,-37.0,-47.0,11.0,23.15,3513.0,11.0
2021-10-27,-17.0,-4.0,22.0,-37.0,-45.0,11.0,23.15,3754.0,19.0
2021-10-28,-16.0,-2.0,18.0,-37.0,-45.0,10.0,23.15,3616.0,11.0
2021-10-29,-21.0,-3.0,-10.0,-35.0,-46.0,11.0,23.15,3450.0,11.0
2021-10-30,-21.0,-5.0,-13.0,-22.0,-13.0,1.0,23.15,2908.0,10.0
2021-10-31,-22.0,-8.0,-14.0,-27.0,-12.0,2.0,23.15,3000.0,12.0
2021-11-01,-20.0,-1.0,12.0,-37.0,-40.0,10.0,23.15,3916.0,11.0
2021-11-02,-22.0,-2.0,5.0,-36.0,-38.0,10.0,23.15,3455.0,15.0
2021-11-03,-23.0,-3.0,-5.0,-36.0,-37.0,10.0,23.15,3288.0,10.0
2021-11-04,-21.0,-2.0,-6.0,-35.0,-37.0,10.0,23.15,3076.0,12.0
2021-11-05,-23.0,-1.0,3.0,-34.0,-37.0,10.0,23.15,2782.0,14.0
2021-11-06,-20.0,-6.0,-6.0,-22.0,-13.0,2.0,23.15,2537.0,15.0
2021-11-07,-15.0,-7.0,14.0,-22.0,-11.0,1.0,23.15,2813.0,9.0
2021-11-08,-21.0,-2.0,8.0,-37.0,-38.0,10.0,23.15,3991.0,16.0
2021-11-09,-23.0,-3.0,3.0,-35.0,-37.0,10.0,23.15,4009.0,11.0
2021-11-10,-24.0,-5.0,-9.0,-35.0,-36.0,10.0,23.15,4132.0,15.0
2021-11-11,-20.0,-2.0,6.0,-35.0,-35.0,9.0,23.15,3923.0,13.0
2021-11-12,-23.0,-3.0,-12.0,-33.0,-36.0,10.0,23.15,3685.0,8.0
2021-11-13,-19.0,-5.0,-10.0,-22.0,-12.0,2.0,23.15,3235.0,13.0
2021-11-14,-18.0,-8.0,2.0,-23.0,-12.0,2.0,23.15,3262.0,10.0
2021-11-15,-21.0,-1.0,8.0,-37.0,-38.0,10.0,23.15,5148.0,11.0
2021-11-16,-22.0,-3.0,1.0,-35.0,-36.0,10.0,23.15,4455.0,8.0
2021-11-17,-21.0,-3.0,5.0,-35.0,-35.0,9.0,23.15,4501.0,5.0
2021-11-18,-20.0,-1.0,3.0,-34.0,-34.0,9.0,23.15,4500.0,6.0
2021-11-19,-21.0,-1.0,-1.0,-32.0,-36.0,9.0,23.15,3944.0,8.0
2021-11-20,-18.0,-6.0,-8.0,-20.0,-12.0,2.0,23.15,3702.0,9.0
2021-11-21,-15.0,-8.0,2.0,-21.0,-12.0,2.0,23.15,3831.0,8.0
2021-11-22,-20.0,-1.0,11.0,-36.0,-38.0,10.0,23.15,5407.0,8.0
2021-11-23,-21.0,-3.0,2.0,-35.0,-36.0,10.0,23.15,5289.0,11.0
2021-11-24,-22.0,-4.0,-3.0,-35.0,-35.0,10.0,23.15,5400.0,17.0
2021-11-25,-18.0,-1.0,3.0,-33.0,-35.0,9.0,23.15,5186.0,11.0
2021-11-26,-21.0,-2.0,-10.0,-32.0,-38.0,10.0,23.15,4609.0,9.0
2021-11-27,-21.0,-9.0,-30.0,-25.0,-13.0,4.0,23.15,4335.0,7.0
2021-11-28,-14.0,-7.0,-2.0,-23.0,-11.0,2.0,23.15,4383.0,12.0
2021-11-29,-19.0,-1.0,0.0,-37.0,-38.0,11.0,23.15,6857.0,8.0
2021-11-30,-21.0,-1.0,-4.0,-36.0,-36.0,10.0,23.15,6833.0,15.0
2021-12-01,-21.0,-3.0,-2.0,-35.0,-36.0,10.0,23.15,7050.0,11.0
2021-12-02,-19.0,-2.0,-3.0,-35.0,-35.0,10.0,23.15,6521.0,8.0
2021-12-03,-22.0,-2.0,-9.0,-33.0,-36.0,10.0,23.15,6093.0,13.0
2021-12-04,-18.0,-5.0,-9.0,-20.0,-11.0,3.0,23.15,5333.0,12.0
2021-12-05,-18.0,-10.0,-19.0,-24.0,-11.0,3.0,23.15,5520.0,13.0
2021-12-06,-21.0,-4.0,-7.0,-38.0,-38.0,11.0,23.15,8554.0,15.0
2021-12-07,-26.0,-8.0,-21.0,-37.0,-37.0,11.0,23.15,9085.0,13.0
2021-12-08,-20.0,-3.0,-6.0,-36.0,-35.0,10.0,23.15,10027.0,13.0
2021-12-09,-18.0,-1.0,2.0,-35.0,-34.0,10.0,23.15,10328.0,11.0
2021-12-10,-22.0,-2.0,-9.0,-34.0,-35.0,10.0,23.15,10214.0,16.0
2021-12-11,-22.0,-7.0,-22.0,-22.0,-9.0,3.0,23.15,9888.0,11.0
2021-12-12,-18.0,-7.0,-2.0,-23.0,-8.0,2.0,23.15,12258.0,20.0
2021-12-13,-20.0,1.0,4.0,-41.0,-41.0,12.0,26.85,22845.0,14.0
2021-12-14,-25.0,0.0,-4.0,-42.0,-42.0,13.0,26.85,29567.0,18.0
2021-12-15,-22.0,1.0,-2.0,-42.0,-42.0,13.0,38.89,31008.0,11.0
2021-12-16,-24.0,1.0,-2.0,-44.0,-43.0,13.0,38.89,30050.0,11.0
2021-12-17,-27.0,-1.0,-13.0,-42.0,-43.0,13.0,38.89,27162.0,16.0
2021-12-18,-30.0,-8.0,-23.0,-33.0,-13.0,5.0,38.89,24960.0,16.0
2021-12-19,-25.0,-12.0,-15.0,-33.0,-9.0,4.0,38.89,22608.0,17.0
2021-12-20,-18.0,1.0,2.0,-48.0,-55.0,15.0,38.89,32670.0,11.0
2021-12-21,-23.0,0.0,-9.0,-51.0,-56.0,16.0,38.89,33940.0,15.0
2021-12-22,-24.0,4.0,-13.0,-52.0,-57.0,16.0,38.89,32163.0,25.0
2021-12-23,-23.0,15.0,-13.0,-53.0,-60.0,16.0,38.89,31069.0,27.0
2021-12-24,-41.0,7.0,-30.0,-58.0,-67.0,19.0,38.89,24101.0,22.0
2021-12-25,-87.0,-82.0,-60.0,-87.0,-71.0,15.0,38.89,11171.0,16.0
2021-12-26,-52.0,-51.0,-29.0,-59.0,-38.0,5.0,38.89,18747.0,21.0
2021-12-27,-33.0,-27.0,-17.0,-63.0,-80.0,20.0,38.89,28062.0,27.0
2021-12-28,-35.0,-24.0,-15.0,-63.0,-78.0,22.0,38.89,28193.0,25.0
2021-12-29,-32.0,-12.0,-16.0,-59.0,-68.0,20.0,38.89,36920.0,26.0
2021-12-30,-30.0,-6.0,-6.0,-58.0,-68.0,20.0,38.89,29444.0,38.0
2021-12-31,-37.0,-1.0,-2.0,-56.0,-67.0,19.0,38.89,22197.0,17.0
2022-01-01,-61.0,-51.0,-19.0,-54.0,-48.0,11.0,38.89,13620.0,40.0
2022-01-02,-36.0,-24.0,-21.0,-44.0,-18.0,6.0,38.89,21912.0,41.0
2022-01-03,-30.0,-17.0,11.0,-62.0,-76.0,23.0,38.89,26951.0,30.0
2022-01-04,-41.0,-13.0,-36.0,-56.0,-52.0,19.0,35.19,32096.0,29.0
2022-01-05,-38.0,-10.0,-16.0,-53.0,-47.0,17.0,35.19,25233.0,29.0
2022-01-06,-41.0,-12.0,-26.0,-53.0,-46.0,18.0,35.19,22194.0,45.0
2022-01-07,-40.0,-11.0,-27.0,-51.0,-42.0,16.0,35.19,15177.0,35.0
2022-01-08,-41.0,-20.0,-52.0,-45.0,-15.0,9.0,35.19,12173.0,38.0
2022-01-09,-28.0,-13.0,6.0,-38.0,-9.0,5.0,35.19,12132.0,39.0
2022-01-10,-34.0,-8.0,-10.0,-48.0,-43.0,15.0,35.19,16625.0,48.0
2022-01-11,-38.0,-12.0,-24.0,-49.0,-43.0,15.0,35.19,14418.0,45.0
2022-01-12,-33.0,-9.0,0.0,-47.0,-41.0,14.0,35.19,12936.0,30.0
2022-01-13,-34.0,-8.0,-5.0,-48.0,-41.0,14.0,35.19,11819.0,43.0
2022-01-14,-34.0,-8.0,-12.0,-45.0,-39.0,13.0,35.19,10512.0,37.0
