date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2021-08-27,Enfield,-14.714285714285714,-6.571428571428571,28.285714285714285,-45.57142857142857,-36.0,7.0
2021-08-28,Enfield,-14.142857142857142,-6.285714285714286,30.857142857142858,-45.42857142857143,-36.142857142857146,6.857142857142857
2021-08-29,Enfield,-13.0,-5.571428571428571,33.285714285714285,-44.714285714285715,-36.285714285714285,6.571428571428571
2021-08-30,Enfield,-13.571428571428571,-6.714285714285714,31.714285714285715,-46.285714285714285,-39.714285714285715,7.428571428571429
2021-08-31,Enfield,-13.285714285714286,-5.714285714285714,28.428571428571427,-45.857142857142854,-39.57142857142857,7.428571428571429
2021-09-01,Enfield,-13.428571428571429,-5.571428571428571,23.857142857142858,-45.714285714285715,-38.857142857142854,7.428571428571429
2021-09-02,Enfield,-13.285714285714286,-5.285714285714286,24.571428571428573,-45.714285714285715,-38.0,7.428571428571429
2021-09-03,Enfield,-13.285714285714286,-5.142857142857143,25.0,-45.0,-36.857142857142854,7.428571428571429
2021-09-04,Enfield,-11.714285714285714,-3.5714285714285716,27.428571428571427,-44.0,-36.285714285714285,7.571428571428571
2021-09-05,Enfield,-10.285714285714286,-2.2857142857142856,34.57142857142857,-43.285714285714285,-35.714285714285715,7.857142857142857
2021-09-06,Enfield,-9.571428571428571,0.2857142857142857,40.42857142857143,-40.42857142857143,-31.0,6.714285714285714
2021-09-07,Enfield,-10.142857142857142,0.42857142857142855,44.285714285714285,-39.285714285714285,-29.857142857142858,6.428571428571429
2021-09-08,Enfield,-10.428571428571429,1.1428571428571428,49.0,-38.142857142857146,-29.285714285714285,6.142857142857143
2021-09-09,Enfield,-10.571428571428571,1.7142857142857142,49.714285714285715,-36.857142857142854,-28.714285714285715,6.0
2021-09-10,Enfield,-10.857142857142858,1.8571428571428572,47.857142857142854,-36.42857142857143,-28.142857142857142,5.857142857142857
2021-09-11,Enfield,-11.714285714285714,1.2857142857142858,49.285714285714285,-36.285714285714285,-28.142857142857142,5.714285714285714
2021-09-12,Enfield,-12.714285714285714,1.0,45.857142857142854,-37.142857142857146,-28.428571428571427,5.571428571428571
2021-09-13,Enfield,-13.142857142857142,0.8571428571428571,42.857142857142854,-37.0,-28.285714285714285,5.571428571428571
2021-09-14,Enfield,-14.142857142857142,-0.14285714285714285,35.857142857142854,-36.857142857142854,-28.571428571428573,5.714285714285714
2021-09-15,Enfield,-14.0,-0.14285714285714285,32.714285714285715,-36.714285714285715,-28.571428571428573,5.571428571428571
2021-09-16,Enfield,-13.857142857142858,-0.2857142857142857,35.0,-36.714285714285715,-28.857142857142858,5.428571428571429
2021-09-17,Enfield,-13.428571428571429,-0.14285714285714285,37.285714285714285,-36.57142857142857,-29.142857142857142,5.285714285714286
2021-09-18,Enfield,-12.857142857142858,0.42857142857142855,39.142857142857146,-36.285714285714285,-29.571428571428573,5.142857142857143
2021-09-19,Enfield,-13.285714285714286,0.0,35.285714285714285,-36.142857142857146,-30.0,5.285714285714286
2021-09-20,Enfield,-13.142857142857142,-0.42857142857142855,33.142857142857146,-36.142857142857146,-30.142857142857142,5.285714285714286
2021-09-21,Enfield,-12.0,0.2857142857142857,39.0,-36.142857142857146,-30.0,5.0
2021-09-22,Enfield,-12.0,-0.14285714285714285,40.714285714285715,-36.285714285714285,-29.714285714285715,5.0
2021-09-23,Enfield,-12.142857142857142,-0.2857142857142857,40.57142857142857,-36.0,-29.285714285714285,5.0
2021-09-24,Enfield,-11.428571428571429,0.42857142857142855,43.142857142857146,-35.285714285714285,-29.0,5.0
2021-09-25,Enfield,-11.714285714285714,0.2857142857142857,40.0,-33.0,-29.0,5.142857142857143
2021-09-26,Enfield,-11.714285714285714,0.7142857142857143,42.142857142857146,-31.0,-29.142857142857142,5.142857142857143
2021-09-27,Enfield,-12.428571428571429,1.0,39.0,-30.142857142857142,-29.0,5.285714285714286
2021-09-28,Enfield,-13.142857142857142,0.42857142857142855,33.0,-29.571428571428573,-28.857142857142858,5.428571428571429
2021-09-29,Enfield,-13.571428571428571,0.14285714285714285,27.857142857142858,-29.142857142857142,-29.142857142857142,5.571428571428571
2021-09-30,Enfield,-14.0,-0.42857142857142855,20.428571428571427,-29.142857142857142,-29.285714285714285,5.714285714285714
2021-10-01,Enfield,-15.0,-1.7142857142857142,14.714285714285714,-29.571428571428573,-29.428571428571427,5.857142857142857
2021-10-02,Enfield,-16.142857142857142,-3.2857142857142856,6.714285714285714,-32.42857142857143,-29.285714285714285,6.285714285714286
2021-10-03,Enfield,-15.857142857142858,-3.2857142857142856,4.0,-33.285714285714285,-29.285714285714285,6.428571428571429
2021-10-04,Enfield,-15.428571428571429,-4.142857142857143,3.7142857142857144,-34.0,-29.285714285714285,6.428571428571429
2021-10-05,Enfield,-15.285714285714286,-4.142857142857143,3.142857142857143,-34.714285714285715,-29.285714285714285,6.428571428571429
2021-10-06,Enfield,-15.0,-4.285714285714286,5.428571428571429,-35.142857142857146,-29.0,6.285714285714286
2021-10-07,Enfield,-15.0,-4.428571428571429,7.714285714285714,-35.42857142857143,-28.857142857142858,6.142857142857143
2021-10-08,Enfield,-14.857142857142858,-4.285714285714286,9.0,-35.57142857142857,-28.714285714285715,6.0
