date,restriction
2021-05-23,Roadmap out of lockdown: Step 3
2021-05-24,Roadmap out of lockdown: Step 3
2021-05-25,Roadmap out of lockdown: Step 3
2021-05-26,Roadmap out of lockdown: Step 3
2021-05-27,Roadmap out of lockdown: Step 3
2021-05-28,Roadmap out of lockdown: Step 3
2021-05-29,Roadmap out of lockdown: Step 3
2021-05-30,Roadmap out of lockdown: Step 3
2021-05-31,Roadmap out of lockdown: Step 3
2021-06-01,Roadmap out of lockdown: Step 3
2021-06-02,Roadmap out of lockdown: Step 3
2021-06-03,Roadmap out of lockdown: Step 3
2021-06-04,Roadmap out of lockdown: Step 3
2021-06-05,Roadmap out of lockdown: Step 3
2021-06-06,Roadmap out of lockdown: Step 3
2021-06-07,Roadmap out of lockdown: Step 3
2021-06-08,Roadmap out of lockdown: Step 3
2021-06-09,Roadmap out of lockdown: Step 3
2021-06-10,Roadmap out of lockdown: Step 3
2021-06-11,Roadmap out of lockdown: Step 3
2021-06-12,Roadmap out of lockdown: Step 3
2021-06-13,Roadmap out of lockdown: Step 3
2021-06-14,Roadmap out of lockdown: Step 3
2021-06-15,Roadmap out of lockdown: Step 3
2021-06-16,Roadmap out of lockdown: Step 3
2021-06-17,Roadmap out of lockdown: Step 3
2021-06-18,Roadmap out of lockdown: Step 3
2021-06-19,Roadmap out of lockdown: Step 3
2021-06-20,Roadmap out of lockdown: Step 3
2021-06-21,Roadmap out of lockdown: Step 3
2021-06-22,Roadmap out of lockdown: Step 3
2021-06-23,Roadmap out of lockdown: Step 3
2021-06-24,Roadmap out of lockdown: Step 3
2021-06-25,Roadmap out of lockdown: Step 3
2021-06-26,Roadmap out of lockdown: Step 3
2021-06-27,Roadmap out of lockdown: Step 3
2021-06-28,Roadmap out of lockdown: Step 3
2021-06-29,Roadmap out of lockdown: Step 3
2021-06-30,Roadmap out of lockdown: Step 3
2021-07-01,Roadmap out of lockdown: Step 3
2021-07-02,Roadmap out of lockdown: Step 3
2021-07-03,Roadmap out of lockdown: Step 3
2021-07-04,Roadmap out of lockdown: Step 3
2021-07-05,Roadmap out of lockdown: Step 3
2021-07-06,Roadmap out of lockdown: Step 3
2021-07-07,Roadmap out of lockdown: Step 3
2021-07-08,Roadmap out of lockdown: Step 3
