date,Stringency Index
2022-03-29,11.11
2022-03-30,11.11
2022-03-31,11.11
2022-04-01,11.11
2022-04-02,11.11
2022-04-03,11.11
2022-04-04,11.11
2022-04-05,11.11
2022-04-06,11.11
2022-04-07,11.11
2022-04-08,11.11
2022-04-09,11.11
2022-04-10,11.11
2022-04-11,11.11
2022-04-12,11.11
2022-04-13,11.11
2022-04-14,11.11
2022-04-15,11.11
2022-04-16,11.11
2022-04-17,11.11
2022-04-18,11.11
2022-04-19,11.11
2022-04-20,11.11
2022-04-21,11.11
2022-04-22,11.11
2022-04-23,11.11
2022-04-24,11.11
2022-04-25,11.11
2022-04-26,11.11
2022-04-27,11.11
2022-04-28,11.11
2022-04-29,11.11
2022-04-30,11.11
2022-05-01,11.11
2022-05-02,11.11
2022-05-03,11.11
2022-05-04,11.11
2022-05-05,11.11
2022-05-06,11.11
2022-05-07,11.11
2022-05-08,11.11
2022-05-09,11.11
2022-05-10,11.11
2022-05-11,11.11
2022-05-12,11.11
2022-05-13,11.11
2022-05-14,11.11
2022-05-15,11.11
2022-05-16,11.11
2022-05-17,11.11
2022-05-18,11.11
2022-05-19,11.11
2022-05-20,11.11
2022-05-21,11.11
2022-05-22,11.11
2022-05-23,11.11
2022-05-24,11.11
2022-05-25,11.11
2022-05-26,11.11
2022-05-27,11.11
2022-05-28,11.11
2022-05-29,11.11
2022-05-30,11.11
2022-05-31,11.11
2022-06-01,11.11
2022-06-02,11.11
2022-06-03,11.11
2022-06-04,11.11
2022-06-05,11.11
2022-06-06,11.11
2022-06-07,11.11
2022-06-08,11.11
2022-06-09,11.11
2022-06-10,11.11
2022-06-11,11.11
2022-06-12,11.11
2022-06-13,11.11
2022-06-14,11.11
2022-06-15,11.11
2022-06-16,11.11
2022-06-17,11.11
2022-06-18,11.11
2022-06-19,11.11
2022-06-20,11.11
2022-06-21,11.11
2022-06-22,11.11
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
