date,variable,value
2021-09-10,retail_and_recreation,-28.0
2021-09-11,retail_and_recreation,-25.0
2021-09-12,retail_and_recreation,-22.0
2021-09-13,retail_and_recreation,-22.0
2021-09-14,retail_and_recreation,-30.0
2021-09-15,retail_and_recreation,-24.0
2021-09-16,retail_and_recreation,-23.0
2021-09-17,retail_and_recreation,-26.0
2021-09-18,retail_and_recreation,-25.0
2021-09-19,retail_and_recreation,-23.0
2021-09-20,retail_and_recreation,-22.0
2021-09-21,retail_and_recreation,-23.0
2021-09-22,retail_and_recreation,-22.0
2021-09-23,retail_and_recreation,-22.0
2021-09-24,retail_and_recreation,-23.0
2021-09-25,retail_and_recreation,-24.0
2021-09-26,retail_and_recreation,-20.0
2021-09-27,retail_and_recreation,-25.0
2021-09-28,retail_and_recreation,-28.0
2021-09-29,retail_and_recreation,-25.0
2021-09-30,retail_and_recreation,-23.0
2021-10-01,retail_and_recreation,-26.0
2021-10-02,retail_and_recreation,-30.0
2021-10-03,retail_and_recreation,-16.0
2021-10-04,retail_and_recreation,-23.0
2021-10-05,retail_and_recreation,-26.0
2021-10-06,retail_and_recreation,-23.0
2021-10-07,retail_and_recreation,-24.0
2021-10-08,retail_and_recreation,-24.0
2021-10-09,retail_and_recreation,-21.0
2021-10-10,retail_and_recreation,-19.0
2021-10-11,retail_and_recreation,-21.0
2021-10-12,retail_and_recreation,-23.0
2021-10-13,retail_and_recreation,-23.0
2021-10-14,retail_and_recreation,-22.0
2021-10-15,retail_and_recreation,-24.0
2021-10-16,retail_and_recreation,-23.0
2021-10-17,retail_and_recreation,-18.0
2021-10-18,retail_and_recreation,-21.0
2021-10-19,retail_and_recreation,-25.0
2021-10-20,retail_and_recreation,-23.0
2021-10-21,retail_and_recreation,-20.0
2021-10-22,retail_and_recreation,-22.0
2021-10-23,retail_and_recreation,-21.0
2021-10-24,retail_and_recreation,-16.0
2021-10-25,retail_and_recreation,-16.0
2021-10-26,retail_and_recreation,-17.0
2021-10-27,retail_and_recreation,-17.0
2021-10-28,retail_and_recreation,-16.0
2021-10-29,retail_and_recreation,-21.0
2021-10-30,retail_and_recreation,-21.0
2021-10-31,retail_and_recreation,-22.0
2021-11-01,retail_and_recreation,-20.0
2021-11-02,retail_and_recreation,-22.0
2021-11-03,retail_and_recreation,-23.0
2021-11-04,retail_and_recreation,-21.0
2021-11-05,retail_and_recreation,-23.0
2021-11-06,retail_and_recreation,-20.0
2021-11-07,retail_and_recreation,-15.0
2021-11-08,retail_and_recreation,-21.0
2021-11-09,retail_and_recreation,-23.0
2021-11-10,retail_and_recreation,-24.0
2021-11-11,retail_and_recreation,-20.0
2021-11-12,retail_and_recreation,-23.0
2021-11-13,retail_and_recreation,-19.0
2021-11-14,retail_and_recreation,-18.0
2021-11-15,retail_and_recreation,-21.0
2021-11-16,retail_and_recreation,-22.0
2021-11-17,retail_and_recreation,-21.0
2021-11-18,retail_and_recreation,-20.0
2021-11-19,retail_and_recreation,-21.0
2021-11-20,retail_and_recreation,-18.0
2021-11-21,retail_and_recreation,-15.0
2021-11-22,retail_and_recreation,-20.0
2021-11-23,retail_and_recreation,-21.0
2021-11-24,retail_and_recreation,-22.0
2021-11-25,retail_and_recreation,-18.0
2021-11-26,retail_and_recreation,-21.0
2021-11-27,retail_and_recreation,-21.0
2021-11-28,retail_and_recreation,-14.0
2021-11-29,retail_and_recreation,-19.0
2021-11-30,retail_and_recreation,-21.0
2021-12-01,retail_and_recreation,-21.0
2021-12-02,retail_and_recreation,-19.0
2021-12-03,retail_and_recreation,-22.0
2021-12-04,retail_and_recreation,-18.0
2021-12-05,retail_and_recreation,-18.0
2021-12-06,retail_and_recreation,-21.0
2021-12-07,retail_and_recreation,-26.0
2021-12-08,retail_and_recreation,-20.0
2021-12-09,retail_and_recreation,-18.0
2021-12-10,retail_and_recreation,-22.0
2021-12-11,retail_and_recreation,-22.0
2021-12-12,retail_and_recreation,-18.0
2021-12-13,retail_and_recreation,-20.0
2021-12-14,retail_and_recreation,-25.0
2021-12-15,retail_and_recreation,-22.0
2021-12-16,retail_and_recreation,-24.0
2021-12-17,retail_and_recreation,-27.0
2021-12-18,retail_and_recreation,-30.0
2021-12-19,retail_and_recreation,-25.0
2021-12-20,retail_and_recreation,-18.0
2021-12-21,retail_and_recreation,-23.0
2021-12-22,retail_and_recreation,-24.0
2021-12-23,retail_and_recreation,-23.0
2021-12-24,retail_and_recreation,-41.0
2021-12-25,retail_and_recreation,-87.0
2021-12-26,retail_and_recreation,-52.0
2021-12-27,retail_and_recreation,-33.0
2021-12-28,retail_and_recreation,-35.0
2021-12-29,retail_and_recreation,-32.0
2021-12-30,retail_and_recreation,-30.0
2021-12-31,retail_and_recreation,-37.0
2022-01-01,retail_and_recreation,-61.0
2022-01-02,retail_and_recreation,-36.0
2022-01-03,retail_and_recreation,-30.0
2022-01-04,retail_and_recreation,-41.0
2022-01-05,retail_and_recreation,-38.0
2022-01-06,retail_and_recreation,-41.0
2022-01-07,retail_and_recreation,-40.0
2022-01-08,retail_and_recreation,-41.0
2022-01-09,retail_and_recreation,-28.0
2022-01-10,retail_and_recreation,-34.0
2022-01-11,retail_and_recreation,-38.0
2022-01-12,retail_and_recreation,-33.0
2022-01-13,retail_and_recreation,-34.0
2022-01-14,retail_and_recreation,-34.0
2022-01-15,retail_and_recreation,-32.0
2022-01-16,retail_and_recreation,-28.0
2022-01-17,retail_and_recreation,-31.0
2022-01-18,retail_and_recreation,-34.0
2022-01-19,retail_and_recreation,-33.0
2022-01-20,retail_and_recreation,-31.0
2022-01-21,retail_and_recreation,-33.0
2022-01-22,retail_and_recreation,-29.0
2022-01-23,retail_and_recreation,-26.0
2022-01-24,retail_and_recreation,-31.0
2022-01-25,retail_and_recreation,-33.0
2022-01-26,retail_and_recreation,-31.0
2022-01-27,retail_and_recreation,-30.0
2022-01-28,retail_and_recreation,-29.0
2022-01-29,retail_and_recreation,-24.0
2022-01-30,retail_and_recreation,-22.0
2022-01-31,retail_and_recreation,-27.0
2022-02-01,retail_and_recreation,-28.0
2022-02-02,retail_and_recreation,-28.0
2022-02-03,retail_and_recreation,-27.0
2022-02-04,retail_and_recreation,-30.0
2022-02-05,retail_and_recreation,-24.0
2022-02-06,retail_and_recreation,-25.0
2022-02-07,retail_and_recreation,-26.0
2022-02-08,retail_and_recreation,-27.0
2022-02-09,retail_and_recreation,-26.0
2022-02-10,retail_and_recreation,-26.0
2022-02-11,retail_and_recreation,-26.0
2022-02-12,retail_and_recreation,-24.0
2022-02-13,retail_and_recreation,-25.0
2022-02-14,retail_and_recreation,-14.0
2022-02-15,retail_and_recreation,-29.0
2022-02-16,retail_and_recreation,-24.0
2022-02-17,retail_and_recreation,-21.0
2022-02-18,retail_and_recreation,-45.0
2022-02-19,retail_and_recreation,-29.0
2022-02-20,retail_and_recreation,-29.0
2022-02-21,retail_and_recreation,-26.0
2022-02-22,retail_and_recreation,-25.0
2022-02-23,retail_and_recreation,-25.0
2022-02-24,retail_and_recreation,-25.0
2022-02-25,retail_and_recreation,-24.0
2022-02-26,retail_and_recreation,-19.0
2022-02-27,retail_and_recreation,-16.0
2022-02-28,retail_and_recreation,-24.0
2022-03-01,retail_and_recreation,-33.0
2022-03-02,retail_and_recreation,-29.0
2022-03-03,retail_and_recreation,-30.0
2022-03-04,retail_and_recreation,-29.0
2022-03-05,retail_and_recreation,-26.0
2022-03-06,retail_and_recreation,-22.0
2022-03-07,retail_and_recreation,-26.0
2022-03-08,retail_and_recreation,-28.0
2022-03-09,retail_and_recreation,-29.0
2022-03-10,retail_and_recreation,-28.0
2022-03-11,retail_and_recreation,-33.0
2022-03-12,retail_and_recreation,-25.0
2022-03-13,retail_and_recreation,-25.0
2022-03-14,retail_and_recreation,-28.0
2022-03-15,retail_and_recreation,-30.0
2022-03-16,retail_and_recreation,-34.0
2022-03-17,retail_and_recreation,-24.0
2022-03-18,retail_and_recreation,-29.0
2022-03-19,retail_and_recreation,-26.0
2022-03-20,retail_and_recreation,-23.0
2022-03-21,retail_and_recreation,-27.0
2022-03-22,retail_and_recreation,-27.0
2022-03-23,retail_and_recreation,-26.0
2022-03-24,retail_and_recreation,-24.0
2022-03-25,retail_and_recreation,-26.0
2022-03-26,retail_and_recreation,-22.0
2022-03-27,retail_and_recreation,-23.0
2022-03-28,retail_and_recreation,-27.0
2022-03-29,retail_and_recreation,-29.0
2022-03-30,retail_and_recreation,-30.0
2022-03-31,retail_and_recreation,-29.0
2022-04-01,retail_and_recreation,-31.0
2022-04-02,retail_and_recreation,-30.0
2022-04-03,retail_and_recreation,-24.0
2022-04-04,retail_and_recreation,-31.0
